UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3151786,01/12/2015,16:15,QUEENS,11413,40.679351,-73.750341,"(40.679351, -73.750341)",MERRICK BOULEVARD,219 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,BACKING UNSAFELY,UNSPECIFIED,,,
3152457,01/12/2015,16:15,QUEENS,11362,40.7678648,-73.7381752,"(40.7678648, -73.7381752)",249 STREET,NORTHERN BOULEVARD,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,FAILURE TO YIELD RIGHT-OF-WAY,,,,
3152008,01/12/2015,16:17,MANHATTAN,10029,40.7915698,-73.9446768,"(40.7915698, -73.9446768)",EAST 106 STREET,THIRD AVENUE,,0,0,0,0,0,0,0,0,BUS,BUS,,,,UNSPECIFIED,UNSPECIFIED,,,
3152097,01/12/2015,16:20,BRONX,10460,40.8521892,-73.8820016,"(40.8521892, -73.8820016)",SOUTHERN BOULEVARD,EAST 185 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3152310,01/12/2015,16:20,BROOKLYN,11237,40.7113352,-73.9338933,"(40.7113352, -73.9338933)",MEADOW STREET,MORGAN AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,BACKING UNSAFELY,UNSPECIFIED,,,
3152528,01/12/2015,16:20,STATEN ISLAND,10306,40.5613119,-74.1215767,"(40.5613119, -74.1215767)",GUYON AVENUE,CLAWSON STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,DRIVER INATTENTION/DISTRACTION,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,
3152425,01/12/2015,16:22,QUEENS,11358,40.7606153,-73.8058395,"(40.7606153, -73.8058395)",SANFORD AVENUE,160 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,OUTSIDE CAR DISTRACTION,UNSPECIFIED,,,
3151471,01/12/2015,16:25,MANHATTAN,10016,40.7430998,-73.9740095,"(40.7430998, -73.9740095)",EAST 33 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3152006,01/12/2015,16:25,,,,,,65 STREET TRANSVERSE,CENTRAL PARK WEST,,0,0,0,0,0,0,0,0,VAN,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3370013,01/12/2015,16:31,,,,,,,,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,
3152390,01/12/2015,16:32,QUEENS,11427,40.7303832,-73.738575,"(40.7303832, -73.738575)",88 AVENUE,BILLING STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3152252,01/12/2015,16:35,BROOKLYN,11213,40.6714738,-73.9308686,"(40.6714738, -73.9308686)",STERLING PLACE,UTICA AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FATIGUED/DROWSY,FATIGUED/DROWSY,,,
3151487,01/12/2015,16:40,MANHATTAN,10065,40.7624884,-73.9629739,"(40.7624884, -73.9629739)",EAST 62 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,OTHER VEHICULAR,TURNING IMPROPERLY,,,
3152297,01/12/2015,16:43,BROOKLYN,11205,40.6977606,-73.9687403,"(40.6977606, -73.9687403)",FLUSHING AVENUE,WAVERLY AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3151739,01/12/2015,16:45,BROOKLYN,11201,40.6998478,-73.9910308,"(40.6998478, -73.9910308)",CADMAN PLAZA WEST,MIDDAGH STREET,,0,0,0,0,0,0,0,0,OTHER,SPORT UTILITY/STATION WAGON,,,,TURNING IMPROPERLY,UNSPECIFIED,,,
3152209,01/12/2015,16:45,BROOKLYN,11226,40.6376265,-73.9556965,"(40.6376265, -73.9556965)",FOSTER AVENUE,EAST 23 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PICK-UP TRUCK,,,,UNSPECIFIED,UNSPECIFIED,,,
3152405,01/12/2015,16:45,QUEENS,11367,40.7282837,-73.8294,"(40.7282837, -73.8294)",136 STREET,JEWEL AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3151836,01/12/2015,16:47,,,40.78896,-73.8235426,"(40.78896, -73.8235426)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3151970,01/12/2015,16:50,MANHATTAN,10022,40.7584871,-73.9751333,"(40.7584871, -73.9751333)",EAST 51 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,TAXI,,,,OTHER VEHICULAR,OTHER VEHICULAR,,,
3152431,01/12/2015,16:50,QUEENS,11355,40.7547687,-73.8299602,"(40.7547687, -73.8299602)",FRAME PLACE,MAPLE AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,BUS,,,,BACKING UNSAFELY,UNSPECIFIED,,,
3151845,01/12/2015,16:50,QUEENS,11361,40.7575782,-73.767973,"(40.7575782, -73.767973)",46 ROAD,BELL BOULEVARD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,UNKNOWN,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3152348,01/12/2015,16:50,QUEENS,11423,40.7132768,-73.7648266,"(40.7132768, -73.7648266)",JAMAICA AVENUE,195 PLACE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3151810,01/12/2015,16:54,QUEENS,11417,40.6790348,-73.8335027,"(40.6790348, -73.8335027)",109 AVENUE,106 STREET,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,PASSENGER DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3152093,01/12/2015,17:00,BRONX,10469,40.8777279,-73.8592761,"(40.8777279, -73.8592761)",BRONXWOOD AVENUE,EAST 213 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PICK-UP TRUCK,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3152325,01/12/2015,17:00,BROOKLYN,11211,40.7155194,-73.9412264,"(40.7155194, -73.9412264)",MASPETH AVENUE,CONSELYEA STREET,,0,0,0,0,0,0,0,0,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3152139,01/12/2015,17:00,BROOKLYN,11223,40.6097753,-73.9642976,"(40.6097753, -73.9642976)",EAST 9 STREET,AVENUE P,,0,0,0,0,0,0,0,0,TAXI,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3152445,01/12/2015,17:00,QUEENS,11373,40.7343762,-73.8734167,"(40.7343762, -73.8734167)",57 AVENUE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3152462,01/12/2015,17:00,QUEENS,11375,40.7342765,-73.8476933,"(40.7342765, -73.8476933)",110 STREET,63 DRIVE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,PHYSICAL DISABILITY,FAILURE TO YIELD RIGHT-OF-WAY,,,
3152413,01/12/2015,17:00,QUEENS,11377,40.7402725,-73.8958512,"(40.7402725, -73.8958512)",69 STREET,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,PAVEMENT SLIPPERY,UNSPECIFIED,,,
3151509,01/12/2015,17:00,MANHATTAN,10029,40.7960032,-73.9354092,"(40.7960032, -73.9354092)",1 AVENUE,EAST 116 STREET,,1,0,1,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,DRIVER INATTENTION/DISTRACTION,,,,
3151472,01/12/2015,17:00,MANHATTAN,10022,40.7606005,-73.9643142,"(40.7606005, -73.9643142)",EAST 59 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,VAN,PICK-UP TRUCK,,,,UNSPECIFIED,UNSPECIFIED,,,
3152257,01/12/2015,17:05,BROOKLYN,11213,40.6775631,-73.9330796,"(40.6775631, -73.9330796)",ATLANTIC AVENUE,SCHENECTADY AVENUE,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3152432,01/12/2015,17:10,QUEENS,11354,40.7650931,-73.8290603,"(40.7650931, -73.8290603)",35 AVENUE,LEAVITT STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3152285,01/12/2015,17:15,BROOKLYN,11201,40.6878231,-73.993268,"(40.6878231, -73.993268)",COURT STREET,BERGEN STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3151423,01/12/2015,17:15,MANHATTAN,10038,40.7108271,-74.0033798,"(40.7108271, -74.0033798)",GOLD STREET,FRANKFORT STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,OTHER,,,,BACKING UNSAFELY,BACKING UNSAFELY,,,
3152518,01/12/2015,17:15,,,,,,ROCKLAND AVENUE,KELLY BOULEVARD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INEXPERIENCE,,,
3151765,01/12/2015,17:16,QUEENS,11419,40.6880421,-73.8327446,"(40.6880421, -73.8327446)",111 STREET,101 AVENUE,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,FAILURE TO YIELD RIGHT-OF-WAY,,,,
3152359,01/12/2015,17:17,,,40.692317,-73.8826776,"(40.692317, -73.8826776)",CYPRESS AVENUE,JACKIE ROBINSON PARKWAY SVC RD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,BUS,,,,UNSPECIFIED,UNSPECIFIED,,,
3151971,01/12/2015,17:19,MANHATTAN,10017,40.7547274,-73.9778743,"(40.7547274, -73.9778743)",EAST 45 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,TAXI,SMALL COM VEH(4 TIRES),TAXI,,,AGGRESSIVE DRIVING/ROAD RAGE,UNSPECIFIED,UNSPECIFIED,,
3151476,01/12/2015,17:19,MANHATTAN,10017,40.7566073,-73.976502,"(40.7566073, -73.976502)",EAST 48 STREET,MADISON AVENUE,,2,0,0,0,0,0,2,0,PASSENGER VEHICLE,TAXI,,,,AGGRESSIVE DRIVING/ROAD RAGE,UNSPECIFIED,,,
3151533,01/12/2015,17:20,BRONX,10455,40.815755,-73.8952779,"(40.815755, -73.8952779)",LONGWOOD AVENUE,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,LIVERY VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3152311,01/12/2015,17:20,,,,,,BROADWAY,NEW MONTROSE AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3154109,01/12/2015,17:20,STATEN ISLAND,10312,40.5342669,-74.1539735,"(40.5342669, -74.1539735)",HYLAN BOULEVARD,RICHMOND AVENUE,,1,0,1,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,DRIVER INATTENTION/DISTRACTION,,,,
3151690,01/12/2015,17:25,BROOKLYN,11231,40.6783944,-74.0116811,"(40.6783944, -74.0116811)",VANBRUNT STREET,KING STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,OUTSIDE CAR DISTRACTION,LOST CONSCIOUSNESS,,,
3152229,01/12/2015,17:30,BROOKLYN,11220,40.6459972,-74.0163384,"(40.6459972, -74.0163384)",53 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3152179,01/12/2015,17:30,BROOKLYN,11236,40.6536264,-73.920897,"(40.6536264, -73.920897)",RALPH AVENUE,REMSEN AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3151980,01/12/2015,17:30,MANHATTAN,10028,40.7756005,-73.9563341,"(40.7756005, -73.9563341)",EAST 81 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,TAXI,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3152383,01/12/2015,17:30,QUEENS,11422,40.6549201,-73.7263863,"(40.6549201, -73.7263863)",FRANCIS LEWIS BOULEVARD,148 AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3151854,01/12/2015,17:30,,,,,,,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
